netpulse-backend  | 
netpulse-backend  |   .   ____          _            __ _ _
netpulse-backend  |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
netpulse-backend  | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
netpulse-backend  |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
netpulse-backend  |   '  |____| .__|_| |_|_| |_\__, | / / / /
netpulse-backend  |  =========|_|==============|___/=/_/_/_/
netpulse-backend  |  :: Spring Boot ::                (v3.2.1)
netpulse-backend  | 
netpulse-backend  | 2026-01-13T16:52:03.097Z  INFO 1 --- [netpulse] [           main] c.geosoft.netpulse.NetPulseApplication   : Starting NetPulseApplication using Java 17.0.17 with PID 1 (/app/app.jar started by root in /app)
netpulse-backend  | 2026-01-13T16:52:03.102Z  INFO 1 --- [netpulse] [           main] c.geosoft.netpulse.NetPulseApplication   : The following 1 profile is active: "docker"
netpulse-backend  | 2026-01-13T16:52:04.236Z  INFO 1 --- [netpulse] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
netpulse-backend  | 2026-01-13T16:52:04.238Z  INFO 1 --- [netpulse] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
netpulse-backend  | 2026-01-13T16:52:04.407Z  INFO 1 --- [netpulse] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 162 ms. Found 44 JPA repository interfaces.
netpulse-backend  | 2026-01-13T16:52:04.443Z  INFO 1 --- [netpulse] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
netpulse-backend  | 2026-01-13T16:52:04.448Z  INFO 1 --- [netpulse] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data LDAP repositories in DEFAULT mode.
netpulse-backend  | 2026-01-13T16:52:04.460Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.agent.repo.DeviceAgentRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
netpulse-backend  | 2026-01-13T16:52:04.460Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.agent.repo.DeviceMetricRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
netpulse-backend  | 2026-01-13T16:52:04.460Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.alerts.AlertRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
netpulse-backend  | 2026-01-13T16:52:04.461Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.alerts.AlertRuleRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
netpulse-backend  | 2026-01-13T16:52:04.464Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.audit.AuditLogRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
netpulse-backend  | 2026-01-13T16:52:04.465Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.auth.RoleRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
netpulse-backend  | 2026-01-13T16:52:04.465Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.auth.UserRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
netpulse-backend  | 2026-01-13T16:52:04.465Z  INFO 1 --- [netpulse] [           main] .RepositoryConfigurationExtensionSupport : Spring Data LDAP - Could not safely identify store assignment for repository candidate interface com.geosoft.netpulse.automation.AutomationRuleRepository; If you want this repository to be a LDAP repository, consider annotating your entities with one of these annotations: org.springframework.ldap.odm.annotations.Entry (preferred), or consider extending one of the following types with your repository: org.springframework.data.ldap.repository.LdapRepository
